StartTime,EndTime,AreaID,UnitName,Load
2022-06-04T10:00+00:00Z,2022-06-04T11:00+00:00Z,10YIT-GRTN-----B,MAW,30374
2022-06-04T11:00+00:00Z,2022-06-04T12:00+00:00Z,10YIT-GRTN-----B,MAW,30097
2022-06-04T12:00+00:00Z,2022-06-04T13:00+00:00Z,10YIT-GRTN-----B,MAW,29830
2022-06-04T13:00+00:00Z,2022-06-04T14:00+00:00Z,10YIT-GRTN-----B,MAW,30084
2022-06-04T14:00+00:00Z,2022-06-04T15:00+00:00Z,10YIT-GRTN-----B,MAW,31165
2022-06-04T15:00+00:00Z,2022-06-04T16:00+00:00Z,10YIT-GRTN-----B,MAW,32486
2022-06-04T16:00+00:00Z,2022-06-04T17:00+00:00Z,10YIT-GRTN-----B,MAW,33462
2022-06-04T17:00+00:00Z,2022-06-04T18:00+00:00Z,10YIT-GRTN-----B,MAW,33000
2022-06-04T18:00+00:00Z,2022-06-04T19:00+00:00Z,10YIT-GRTN-----B,MAW,32559
2022-06-04T19:00+00:00Z,2022-06-04T20:00+00:00Z,10YIT-GRTN-----B,MAW,30660
2022-06-04T20:00+00:00Z,2022-06-04T21:00+00:00Z,10YIT-GRTN-----B,MAW,28360
2022-06-04T21:00+00:00Z,2022-06-04T22:00+00:00Z,10YIT-GRTN-----B,MAW,26172
2022-06-04T22:00+00:00Z,2022-06-04T23:00+00:00Z,10YIT-GRTN-----B,MAW,24511
2022-06-04T23:00+00:00Z,2022-06-05T00:00+00:00Z,10YIT-GRTN-----B,MAW,23483
2022-06-05T00:00+00:00Z,2022-06-05T01:00+00:00Z,10YIT-GRTN-----B,MAW,22968
2022-06-05T01:00+00:00Z,2022-06-05T02:00+00:00Z,10YIT-GRTN-----B,MAW,22770
2022-06-05T02:00+00:00Z,2022-06-05T03:00+00:00Z,10YIT-GRTN-----B,MAW,22254
2022-06-05T03:00+00:00Z,2022-06-05T04:00+00:00Z,10YIT-GRTN-----B,MAW,22399
2022-06-05T04:00+00:00Z,2022-06-05T05:00+00:00Z,10YIT-GRTN-----B,MAW,23752
2022-06-05T05:00+00:00Z,2022-06-05T06:00+00:00Z,10YIT-GRTN-----B,MAW,25115
2022-06-05T06:00+00:00Z,2022-06-05T07:00+00:00Z,10YIT-GRTN-----B,MAW,26995
2022-06-05T07:00+00:00Z,2022-06-05T08:00+00:00Z,10YIT-GRTN-----B,MAW,28593
2022-06-05T08:00+00:00Z,2022-06-05T09:00+00:00Z,10YIT-GRTN-----B,MAW,28826
2022-06-05T09:00+00:00Z,2022-06-05T10:00+00:00Z,10YIT-GRTN-----B,MAW,29408
2022-06-05T10:00+00:00Z,2022-06-05T11:00+00:00Z,10YIT-GRTN-----B,MAW,28195
2022-06-05T11:00+00:00Z,2022-06-05T12:00+00:00Z,10YIT-GRTN-----B,MAW,27566
2022-06-05T12:00+00:00Z,2022-06-05T13:00+00:00Z,10YIT-GRTN-----B,MAW,28147
2022-06-05T13:00+00:00Z,2022-06-05T14:00+00:00Z,10YIT-GRTN-----B,MAW,28930
2022-06-05T14:00+00:00Z,2022-06-05T15:00+00:00Z,10YIT-GRTN-----B,MAW,29532
2022-06-05T15:00+00:00Z,2022-06-05T16:00+00:00Z,10YIT-GRTN-----B,MAW,30021
2022-06-05T16:00+00:00Z,2022-06-05T17:00+00:00Z,10YIT-GRTN-----B,MAW,30964
2022-06-05T17:00+00:00Z,2022-06-05T18:00+00:00Z,10YIT-GRTN-----B,MAW,31226
2022-06-05T18:00+00:00Z,2022-06-05T19:00+00:00Z,10YIT-GRTN-----B,MAW,31516
2022-06-05T19:00+00:00Z,2022-06-05T20:00+00:00Z,10YIT-GRTN-----B,MAW,30254
2022-06-05T20:00+00:00Z,2022-06-05T21:00+00:00Z,10YIT-GRTN-----B,MAW,27829
2022-06-05T21:00+00:00Z,2022-06-05T22:00+00:00Z,10YIT-GRTN-----B,MAW,25570
2022-06-05T22:00+00:00Z,2022-06-05T23:00+00:00Z,10YIT-GRTN-----B,MAW,24063
2022-06-05T23:00+00:00Z,2022-06-06T00:00+00:00Z,10YIT-GRTN-----B,MAW,23180
2022-06-06T00:00+00:00Z,2022-06-06T01:00+00:00Z,10YIT-GRTN-----B,MAW,22955
2022-06-06T01:00+00:00Z,2022-06-06T02:00+00:00Z,10YIT-GRTN-----B,MAW,23449
2022-06-06T02:00+00:00Z,2022-06-06T03:00+00:00Z,10YIT-GRTN-----B,MAW,24459
2022-06-06T03:00+00:00Z,2022-06-06T04:00+00:00Z,10YIT-GRTN-----B,MAW,28752
2022-06-06T04:00+00:00Z,2022-06-06T05:00+00:00Z,10YIT-GRTN-----B,MAW,34209
