StartTime,EndTime,AreaID,UnitName,Load
2022-06-07T12:00+00:00Z,2022-06-07T13:00+00:00Z,10Y1001A1001A65H,MAW,4264
2022-06-07T13:00+00:00Z,2022-06-07T14:00+00:00Z,10Y1001A1001A65H,MAW,4283
2022-06-07T14:00+00:00Z,2022-06-07T15:00+00:00Z,10Y1001A1001A65H,MAW,4567
2022-06-07T15:00+00:00Z,2022-06-07T16:00+00:00Z,10Y1001A1001A65H,MAW,4367
2022-06-07T16:00+00:00Z,2022-06-07T17:00+00:00Z,10Y1001A1001A65H,MAW,4108
2022-06-07T17:00+00:00Z,2022-06-07T18:00+00:00Z,10Y1001A1001A65H,MAW,3937
2022-06-07T18:00+00:00Z,2022-06-07T19:00+00:00Z,10Y1001A1001A65H,MAW,3666
2022-06-07T19:00+00:00Z,2022-06-07T20:00+00:00Z,10Y1001A1001A65H,MAW,3519
2022-06-07T20:00+00:00Z,2022-06-07T21:00+00:00Z,10Y1001A1001A65H,MAW,3318
2022-06-07T21:00+00:00Z,2022-06-07T22:00+00:00Z,10Y1001A1001A65H,MAW,3079
2022-06-07T22:00+00:00Z,2022-06-07T23:00+00:00Z,10Y1001A1001A65H,MAW,2972
2022-06-07T23:00+00:00Z,2022-06-08T00:00+00:00Z,10Y1001A1001A65H,MAW,2953
2022-06-08T00:00+00:00Z,2022-06-08T01:00+00:00Z,10Y1001A1001A65H,MAW,2917
2022-06-08T01:00+00:00Z,2022-06-08T02:00+00:00Z,10Y1001A1001A65H,MAW,2938
2022-06-08T02:00+00:00Z,2022-06-08T03:00+00:00Z,10Y1001A1001A65H,MAW,3090
2022-06-08T03:00+00:00Z,2022-06-08T04:00+00:00Z,10Y1001A1001A65H,MAW,3556
2022-06-08T04:00+00:00Z,2022-06-08T05:00+00:00Z,10Y1001A1001A65H,MAW,4098
2022-06-08T05:00+00:00Z,2022-06-08T06:00+00:00Z,10Y1001A1001A65H,MAW,4365
2022-06-08T06:00+00:00Z,2022-06-08T07:00+00:00Z,10Y1001A1001A65H,MAW,4480
2022-06-08T07:00+00:00Z,2022-06-08T08:00+00:00Z,10Y1001A1001A65H,MAW,4593
